datetime,date,open,high,low,close,volume,amount,symbol,interval,provider,adjust,market
2025-04-14 00:00:00,2025-04-14,3251.978,3272.72,3244.733,3262.808,47137322000,153800031320176.0,sh000001,1d,akshare,,CN
2025-04-15 00:00:00,2025-04-15,3260.685,3268.985,3246.337,3267.662,39666289500,129616026880149.0,sh000001,1d,akshare,,CN
2025-04-16 00:00:00,2025-04-16,3267.665,3276.005,3233.791,3276.004,42953485400,140715789984341.6,sh000001,1d,akshare,,CN
2025-04-17 00:00:00,2025-04-17,3261.718,3285.915,3258.145,3280.341,38201269800,125313191577001.8,sh000001,1d,akshare,,CN
2025-04-18 00:00:00,2025-04-18,3270.353,3283.09,3262.392,3276.73,35883619300,117580931868889.0,sh000001,1d,akshare,,CN
2025-04-21 00:00:00,2025-04-21,3273.138,3298.64,3270.013,3291.434,37930758800,124846589160119.2,sh000001,1d,akshare,,CN
2025-04-22 00:00:00,2025-04-22,3289.166,3311.153,3288.332,3299.757,40316761500,133035515976955.5,sh000001,1d,akshare,,CN
2025-04-23 00:00:00,2025-04-23,3308.151,3312.192,3293.063,3296.355,41163321200,135688919654226.0,sh000001,1d,akshare,,CN
2025-04-24 00:00:00,2025-04-24,3295.149,3313.509,3286.236,3297.288,39284474900,129532227674071.2,sh000001,1d,akshare,,CN
2025-04-25 00:00:00,2025-04-25,3300.392,3305.262,3288.755,3295.06,41104319200,135441198023152.0,sh000001,1d,akshare,,CN
2025-04-28 00:00:00,2025-04-28,3292.056,3296.932,3279.877,3288.415,41066586300,135043978387714.5,sh000001,1d,akshare,,CN
2025-04-29 00:00:00,2025-04-29,3281.445,3294.982,3277.627,3286.655,38896167200,127838282408716.0,sh000001,1d,akshare,,CN
2025-04-30 00:00:00,2025-04-30,3284.081,3292.2,3277.55,3279.031,43579433500,142898313408938.5,sh000001,1d,akshare,,CN
2025-05-06 00:00:00,2025-05-06,3295.25,3316.448,3286.989,3316.114,47436961700,157306372810833.8,sh000001,1d,akshare,,CN
2025-05-07 00:00:00,2025-05-07,3354.974,3356.688,3324.809,3342.665,51115960600,170863532438999.0,sh000001,1d,akshare,,CN
2025-05-08 00:00:00,2025-05-08,3331.205,3359.731,3327.902,3351.996,42837776600,143592055812093.6,sh000001,1d,akshare,,CN
2025-05-09 00:00:00,2025-05-09,3350.405,3351.22,3335.127,3341.999,39890919100,133315411741280.89,sh000001,1d,akshare,,CN
2025-05-12 00:00:00,2025-05-12,3352.97,3372.472,3344.269,3369.245,41823991000,140915272556795.0,sh000001,1d,akshare,,CN
2025-05-13 00:00:00,2025-05-13,3386.234,3386.234,3370.252,3374.871,42624070000,143850737744970.0,sh000001,1d,akshare,,CN
2025-05-14 00:00:00,2025-05-14,3374.235,3417.314,3368.078,3403.948,46493444100,158261266057306.78,sh000001,1d,akshare,,CN
2025-05-15 00:00:00,2025-05-15,3398.427,3402.866,3378.021,3380.821,42410091600,143380928293203.6,sh000001,1d,akshare,,CN
2025-05-16 00:00:00,2025-05-16,3374.706,3380.29,3356.661,3367.462,39540103000,133149794328586.0,sh000001,1d,akshare,,CN
2025-05-19 00:00:00,2025-05-19,3365.882,3373.599,3356.648,3367.583,40307480500,135738786104631.5,sh000001,1d,akshare,,CN
